DOI,CitationDOI,BadgeDOI,Citations,Available,Functional,Replicable,BadgeCategory,BadgeLevel
10.1109/sc41404.2022.00029,https://doi.org/10.1109/SC41404.2022.00029,https://doi.org/10.1109/SC41404.2022.00029,11,1,0,0,Available only,1
10.1109/sc41404.2022.00030,https://doi.org/10.1109/SC41404.2022.00030,https://doi.org/10.1109/SC41404.2022.00030,2,1,1,0,Functional only,2
10.1109/sc41404.2022.00031,https://doi.org/10.1109/SC41404.2022.00031,https://doi.org/10.1109/SC41404.2022.00031,5,1,1,1,Replicable,3
10.1109/sc41404.2022.00032,https://doi.org/10.1109/SC41404.2022.00032,https://doi.org/10.1109/SC41404.2022.00032,4,0,0,0,No badge,0
10.1109/sc41404.2022.00033,https://doi.org/10.1109/SC41404.2022.00033,https://doi.org/10.1109/SC41404.2022.00033,4,1,1,1,Replicable,3
10.1109/sc41404.2022.00034,https://doi.org/10.1109/SC41404.2022.00034,https://doi.org/10.1109/SC41404.2022.00034,6,1,1,1,Replicable,3
10.1109/sc41404.2022.00035,https://doi.org/10.1109/SC41404.2022.00035,https://doi.org/10.1109/SC41404.2022.00035,17,0,0,0,No badge,0
10.1109/sc41404.2022.00036,https://doi.org/10.1109/SC41404.2022.00036,https://doi.org/10.1109/SC41404.2022.00036,6,1,1,1,Replicable,3
10.1109/sc41404.2022.00037,https://doi.org/10.1109/SC41404.2022.00037,https://doi.org/10.1109/SC41404.2022.00037,3,1,1,1,Replicable,3
10.1109/sc41404.2022.00038,https://doi.org/10.1109/SC41404.2022.00038,https://doi.org/10.1109/SC41404.2022.00038,10,1,1,1,Replicable,3
10.1109/sc41404.2022.00039,https://doi.org/10.1109/SC41404.2022.00039,https://doi.org/10.1109/SC41404.2022.00039,3,1,1,0,Functional only,2
10.1109/sc41404.2022.00040,https://doi.org/10.1109/SC41404.2022.00040,https://doi.org/10.1109/SC41404.2022.00040,6,1,1,1,Replicable,3
10.1109/sc41404.2022.00041,https://doi.org/10.1109/SC41404.2022.00041,https://doi.org/10.1109/SC41404.2022.00041,21,1,1,1,Replicable,3
10.1109/sc41404.2022.00042,https://doi.org/10.1109/SC41404.2022.00042,https://doi.org/10.1109/SC41404.2022.00042,25,1,1,1,Replicable,3
10.1109/sc41404.2022.00043,https://doi.org/10.1109/SC41404.2022.00043,https://doi.org/10.1109/SC41404.2022.00043,23,1,1,1,Replicable,3
10.1109/sc41404.2022.00044,https://doi.org/10.1109/SC41404.2022.00044,https://doi.org/10.1109/SC41404.2022.00044,11,1,1,1,Replicable,3
10.1109/sc41404.2022.00045,https://doi.org/10.1109/SC41404.2022.00045,https://doi.org/10.1109/SC41404.2022.00045,9,1,1,1,Replicable,3
10.1109/sc41404.2022.00046,https://doi.org/10.1109/SC41404.2022.00046,https://doi.org/10.1109/SC41404.2022.00046,9,0,0,0,No badge,0
10.1109/sc41404.2022.00047,https://doi.org/10.1109/SC41404.2022.00047,https://doi.org/10.1109/SC41404.2022.00047,18,1,1,1,Replicable,3
10.1109/sc41404.2022.00048,https://doi.org/10.1109/SC41404.2022.00048,https://doi.org/10.1109/SC41404.2022.00048,9,1,1,1,Replicable,3
10.1109/sc41404.2022.00049,https://doi.org/10.1109/SC41404.2022.00049,https://doi.org/10.1109/SC41404.2022.00049,6,1,1,1,Replicable,3
10.1109/sc41404.2022.00050,https://doi.org/10.1109/SC41404.2022.00050,https://doi.org/10.1109/SC41404.2022.00050,15,1,0,0,Available only,1
10.1109/sc41404.2022.00051,https://doi.org/10.1109/SC41404.2022.00051,https://doi.org/10.1109/SC41404.2022.00051,229,0,0,0,No badge,0
10.1109/sc41404.2022.00052,https://doi.org/10.1109/SC41404.2022.00052,https://doi.org/10.1109/SC41404.2022.00052,1,1,1,1,Replicable,3
10.1109/sc41404.2022.00053,https://doi.org/10.1109/SC41404.2022.00053,https://doi.org/10.1109/SC41404.2022.00053,13,1,1,1,Replicable,3
10.1109/sc41404.2022.00054,https://doi.org/10.1109/SC41404.2022.00054,https://doi.org/10.1109/SC41404.2022.00054,10,1,1,1,Replicable,3
10.1109/sc41404.2022.00055,https://doi.org/10.1109/SC41404.2022.00055,https://doi.org/10.1109/SC41404.2022.00055,10,1,1,1,Replicable,3
10.1109/sc41404.2022.00056,https://doi.org/10.1109/SC41404.2022.00056,https://doi.org/10.1109/SC41404.2022.00056,6,1,1,1,Replicable,3
10.1109/sc41404.2022.00057,https://doi.org/10.1109/SC41404.2022.00057,https://doi.org/10.1109/SC41404.2022.00057,12,1,1,1,Replicable,3
10.1109/sc41404.2022.00058,https://doi.org/10.1109/SC41404.2022.00058,https://doi.org/10.1109/SC41404.2022.00058,20,1,1,0,Functional only,2
10.1109/sc41404.2022.00059,https://doi.org/10.1109/SC41404.2022.00059,https://doi.org/10.1109/SC41404.2022.00059,11,0,0,0,No badge,0
10.1109/sc41404.2022.00060,https://doi.org/10.1109/SC41404.2022.00060,https://doi.org/10.1109/SC41404.2022.00060,1,1,0,0,Available only,1
10.1109/sc41404.2022.00061,https://doi.org/10.1109/SC41404.2022.00061,https://doi.org/10.1109/SC41404.2022.00061,6,0,0,0,No badge,0
10.1109/sc41404.2022.00062,https://doi.org/10.1109/SC41404.2022.00062,https://doi.org/10.1109/SC41404.2022.00062,1,1,0,0,Available only,1
10.1109/sc41404.2022.00063,https://doi.org/10.1109/SC41404.2022.00063,https://doi.org/10.1109/SC41404.2022.00063,10,1,1,1,Replicable,3
10.1109/sc41404.2022.00064,https://doi.org/10.1109/SC41404.2022.00064,https://doi.org/10.1109/SC41404.2022.00064,7,1,0,0,Available only,1
10.1109/sc41404.2022.00065,https://doi.org/10.1109/SC41404.2022.00065,https://doi.org/10.1109/SC41404.2022.00065,24,1,1,0,Functional only,2
10.1109/sc41404.2022.00066,https://doi.org/10.1109/SC41404.2022.00066,https://doi.org/10.1109/SC41404.2022.00066,15,1,1,0,Functional only,2
10.1109/sc41404.2022.00067,https://doi.org/10.1109/SC41404.2022.00067,https://doi.org/10.1109/SC41404.2022.00067,29,1,1,1,Replicable,3
10.1109/sc41404.2022.00068,https://doi.org/10.1109/SC41404.2022.00068,https://doi.org/10.1109/SC41404.2022.00068,1,1,1,0,Functional only,2
10.1109/sc41404.2022.00069,https://doi.org/10.1109/SC41404.2022.00069,https://doi.org/10.1109/SC41404.2022.00069,3,0,0,0,No badge,0
10.1109/sc41404.2022.00070,https://doi.org/10.1109/SC41404.2022.00070,https://doi.org/10.1109/SC41404.2022.00070,25,1,1,0,Functional only,2
10.1109/sc41404.2022.00071,https://doi.org/10.1109/SC41404.2022.00071,https://doi.org/10.1109/SC41404.2022.00071,39,1,0,0,Available only,1
10.1109/sc41404.2022.00072,https://doi.org/10.1109/SC41404.2022.00072,https://doi.org/10.1109/SC41404.2022.00072,5,1,1,0,Functional only,2
10.1109/sc41404.2022.00073,https://doi.org/10.1109/SC41404.2022.00073,https://doi.org/10.1109/SC41404.2022.00073,2,1,1,1,Replicable,3
10.1109/sc41404.2022.00074,https://doi.org/10.1109/SC41404.2022.00074,https://doi.org/10.1109/SC41404.2022.00074,7,0,0,0,No badge,0
10.1109/sc41404.2022.00075,https://doi.org/10.1109/SC41404.2022.00075,https://doi.org/10.1109/SC41404.2022.00075,15,1,1,1,Replicable,3
10.1109/sc41404.2022.00076,https://doi.org/10.1109/SC41404.2022.00076,https://doi.org/10.1109/SC41404.2022.00076,16,1,1,1,Replicable,3
10.1109/sc41404.2022.00077,https://doi.org/10.1109/SC41404.2022.00077,https://doi.org/10.1109/SC41404.2022.00077,9,1,1,1,Replicable,3
10.1109/sc41404.2022.00078,https://doi.org/10.1109/SC41404.2022.00078,https://doi.org/10.1109/SC41404.2022.00078,16,1,1,1,Replicable,3
10.1109/sc41404.2022.00079,https://doi.org/10.1109/SC41404.2022.00079,https://doi.org/10.1109/SC41404.2022.00079,9,0,0,0,No badge,0
10.1109/sc41404.2022.00080,https://doi.org/10.1109/SC41404.2022.00080,https://doi.org/10.1109/SC41404.2022.00080,3,1,1,1,Replicable,3
10.1109/sc41404.2022.00081,https://doi.org/10.1109/SC41404.2022.00081,https://doi.org/10.1109/SC41404.2022.00081,16,0,0,0,No badge,0
10.1109/sc41404.2022.00082,https://doi.org/10.1109/SC41404.2022.00082,https://doi.org/10.1109/SC41404.2022.00082,4,1,0,0,Available only,1
10.1109/sc41404.2022.00083,https://doi.org/10.1109/SC41404.2022.00083,https://doi.org/10.1109/SC41404.2022.00083,8,0,0,0,No badge,0
10.1109/sc41404.2022.00084,https://doi.org/10.1109/SC41404.2022.00084,https://doi.org/10.1109/SC41404.2022.00084,7,0,0,0,No badge,0
10.1109/sc41404.2022.00085,https://doi.org/10.1109/SC41404.2022.00085,https://doi.org/10.1109/SC41404.2022.00085,4,0,0,0,No badge,0
10.1109/sc41404.2022.00086,https://doi.org/10.1109/SC41404.2022.00086,https://doi.org/10.1109/SC41404.2022.00086,15,1,1,0,Functional only,2
10.1109/sc41404.2022.00087,https://doi.org/10.1109/SC41404.2022.00087,https://doi.org/10.1109/SC41404.2022.00087,4,1,1,1,Replicable,3
10.1109/sc41404.2022.00088,https://doi.org/10.1109/SC41404.2022.00088,https://doi.org/10.1109/SC41404.2022.00088,7,1,1,1,Replicable,3
10.1109/sc41404.2022.00089,https://doi.org/10.1109/SC41404.2022.00089,https://doi.org/10.1109/SC41404.2022.00089,5,0,0,0,No badge,0
10.1109/sc41404.2022.00090,https://doi.org/10.1109/SC41404.2022.00090,https://doi.org/10.1109/SC41404.2022.00090,6,0,0,0,No badge,0
10.1109/sc41404.2022.00091,https://doi.org/10.1109/SC41404.2022.00091,https://doi.org/10.1109/SC41404.2022.00091,2,0,0,0,No badge,0
10.1109/sc41404.2022.00092,https://doi.org/10.1109/SC41404.2022.00092,https://doi.org/10.1109/SC41404.2022.00092,1,1,0,0,Available only,1
